time,Pelvis_Acc_X,Pelvis_Acc_Y,Pelvis_Acc_Z,Pelvis_Gyr_X,Pelvis_Gyr_Y,Pelvis_Gyr_Z,Thigh_L_Acc_X,Thigh_L_Acc_Y,Thigh_L_Acc_Z,Thigh_L_Gyr_X,Thigh_L_Gyr_Y,Thigh_L_Gyr_Z,Thigh_R_Acc_X,Thigh_R_Acc_Y,Thigh_R_Acc_Z,Thigh_R_Gyr_X,Thigh_R_Gyr_Y,Thigh_R_Gyr_Z,gpio_output
0.014124870300292969,-9.651026892089844,0.14125789794921875,-1.8195932617187498,-1.7709923664122138,0.8549618320610687,-0.6717557251908397,-9.744400756835937,-0.3016694091796875,-0.2753331909179687,-0.3511450381679389,-1.1908396946564885,-0.6259541984732825,-9.770736975097655,0.7637503295898437,-0.24899697265624998,0.8396946564885496,-0.7480916030534351,0.4122137404580153,0
0.020002126693725586,-9.677363110351562,0.1771709228515625,-1.7860744384765623,-2.0916030534351147,0.48854961832061067,-0.3816793893129771,-9.672574707031249,-0.20829554443359374,-0.3447650390625,-0.3511450381679389,-1.3435114503816794,-0.4580152671755725,-9.816226806640625,0.7613561279296874,-0.28490999755859375,0.15267175572519084,-0.7175572519083969,0.549618320610687,0
0.030002593994140625,-9.720458740234374,0.17956512451171874,-1.8315642700195311,-1.6793893129770991,0.6870229007633588,-0.12213740458015267,-9.79946739501953,-0.28490999755859375,-0.3136404174804687,-1.5419847328244274,-1.7557251908396947,-0.32061068702290074,-9.631873278808593,0.737414111328125,-0.30406361083984373,-0.9312977099236641,-0.16793893129770993,0.3969465648854962,0
0.04000282287597656,-9.643844287109374,0.2561795776367187,-1.8411410766601561,-1.6488549618320612,0.6259541984732825,-0.3511450381679389,-9.83777462158203,-0.143652099609375,-0.21787235107421873,-0.5954198473282443,-1.2366412213740459,-0.9007633587786259,-9.588777648925781,0.7302315063476562,-0.3591302490234375,-0.07633587786259542,-1.0534351145038168,0.42748091603053434,0
0.050002098083496094,-9.706093530273437,0.18435352783203124,-1.8650830932617186,-1.4045801526717556,0.4580152671755725,-0.42748091603053434,-9.725247143554688,-0.36152445068359373,-0.2657563842773437,-0.1984732824427481,-0.6870229007633588,-0.5648854961832062,-9.737218151855469,0.45489831542968745,-0.296881005859375,-0.10687022900763359,-0.9465648854961832,0.7480916030534351,0
0.060003042221069336,-9.56962403564453,0.15322890625,-1.838746875,-1.1450381679389312,0.7022900763358778,-0.4122137404580153,-9.658209497070311,-0.354341845703125,-0.3064578125,-0.5038167938931297,-0.9618320610687023,-0.16793893129770993,-9.909600671386718,0.6727706665039062,-0.258573779296875,0.16793893129770993,-0.42748091603053434,0.44274809160305345,0
0.07000207901000977,-9.641450085449218,0.22505495605468748,-1.8555062866210936,-1.0381679389312977,0.916030534351145,-0.6564885496183206,-9.639055883789062,-0.2920926025390625,-0.28012159423828126,-0.4732824427480916,-0.42748091603053434,-0.22900763358778625,-9.835380419921874,0.6057330200195312,-0.09337386474609374,0.5038167938931297,-1.0534351145038168,0.3816793893129771,0
0.0800020694732666,-9.665392102050781,0.15083470458984374,-1.8746598999023436,-1.0229007633587786,0.6564885496183206,-0.6564885496183206,-9.593566052246093,-0.4285620971679687,-0.2705447875976562,-0.42748091603053434,-0.2595419847328244,-0.16793893129770993,-9.878476049804688,0.5219359619140624,-0.2705447875976562,0.6717557251908397,-0.6717557251908397,0.366412213740458,0
0.09000182151794434,-9.76116016845703,0.1484405029296875,-1.7741034301757812,-0.5954198473282443,0.8396946564885496,-0.5038167938931297,-10.024522351074218,-0.18914193115234373,-0.0718260498046875,-1.7404580152671756,-0.4732824427480916,-0.8702290076335878,-9.931148486328125,0.19393033447265623,-0.13168109130859373,1.5114503816793894,-0.5954198473282443,0.5648854961832062,0
0.10000348091125488,-9.689334118652344,0.12210428466796874,-1.9680337646484374,-0.3969465648854962,0.16793893129770993,-0.10687022900763359,-9.641450085449218,-0.07422025146484375,0.1771709228515625,-0.7022900763358778,-0.015267175572519083,-1.0229007633587786,-9.689334118652344,0.36631285400390623,-0.1197100830078125,-0.24427480916030533,0.07633587786259542,0.5648854961832062,0
0.11000180244445801,-9.897629663085937,0.05746083984375,-1.707065783691406,0.030534351145038167,-1.5419847328244274,0.3969465648854962,-10.69968721923828,0.5291185668945312,0.17238251953125,-10.0,-2.1068702290076335,-1.2366412213740459,-9.926360083007811,-0.040701428222656245,0.3016694091796875,2.122137404580153,-0.21374045801526717,-0.10687022900763359,0
0.12000393867492676,-12.34689796142578,0.5458779785156249,-1.8435352783203125,0.5954198473282443,-9.236641221374045,1.2213740458015268,-11.295843432617186,4.139574670410156,-0.086191259765625,-42.56488549618321,-13.465648854961833,-0.7786259541984732,-10.733206042480468,-2.166752502441406,1.180341418457031,12.396946564885496,-3.9083969465648853,1.0687022900763359,0
