time,mtr_pos_L,mtr_pos_R,mtr_vel_L,mtr_vel_R,gpio_output
0.014124870300292969,0.0,0.6000000000000001,0.0,8.571428571428571,0
0.020002126693725586,0.0,0.5,0.0,-0.0,0
0.030002593994140625,0.0,0.5,0.0,-0.0,0
0.04000282287597656,0.0,0.5,0.3174603174603175,-0.634920634920635,0
0.050002098083496094,0.0,0.5,0.0,-0.0,0
0.060003042221069336,0.0,0.5,0.0,-0.0,0
0.07000207901000977,0.0,0.5,0.0,-0.0,0
0.0800020694732666,0.0,0.5,0.0,-0.0,0
0.09000182151794434,0.0,0.5,0.0,-0.0,0
0.10000348091125488,0.0,0.5,0.0,-0.0,0
0.11000180244445801,0.0,0.5,0.9523809523809527,0.3174603174603175,0
0.12000393867492676,0.0,0.6000000000000001,5.07936507936508,2.2222222222222223,0
0.13000202178955078,0.4,0.7000000000000002,32.698412698412696,8.253968253968253,0
0.14000320434570312,0.9000000000000001,1.0,51.42857142857143,30.158730158730158,0
0.15000152587890625,1.6,1.7000000000000002,62.222222222222214,64.44444444444444,0
0.1600043773651123,2.2,2.4000000000000004,67.61904761904762,76.82539682539684,0
0.17000150680541992,2.9000000000000004,3.2,60.95238095238097,73.96825396825398,0
0.18000459671020508,3.3000000000000007,3.8000000000000007,45.07936507936508,66.66666666666666,0
0.1900017261505127,3.5,4.3,25.079365079365076,39.682539682539684,0
0.20000362396240234,3.6000000000000005,4.2,12.063492063492063,4.1269841269841265,0
0.21000218391418457,3.6000000000000005,3.9000000000000004,0.0,-14.92063492063492,0
0.22000408172607422,3.6000000000000005,3.9000000000000004,0.0,-14.92063492063492,0
0.23000216484069824,3.6000000000000005,3.8000000000000007,-0.634920634920635,-12.063492063492063,0
0.2400040626525879,3.5,3.8000000000000007,-1.26984126984127,-5.07936507936508,0
0.2500021457672119,3.5,3.7000000000000006,-1.9047619047619053,-6.984126984126985,0
0.26000308990478516,3.4000000000000004,3.7000000000000006,-7.619047619047621,-0.634920634920635,0
0.2700023651123047,3.3000000000000007,3.7000000000000006,-11.428571428571429,-0.0,0
0.28000378608703613,3.2,3.7000000000000006,-7.619047619047621,-0.0,0
0.29000258445739746,3.3000000000000007,3.7000000000000006,0.3174603174603175,-0.0,0
0.3000044822692871,3.3000000000000007,3.7000000000000006,0.0,-0.0,0
0.31000208854675293,3.3000000000000007,3.7000000000000006,0.0,-0.0,0
0.3200035095214844,3.3000000000000007,3.7000000000000006,0.0,-0.3174603174603175,0
0.3300018310546875,3.3000000000000007,3.7000000000000006,0.0,-2.857142857142857,0
0.34000229835510254,3.3000000000000007,3.5,0.0,-14.285714285714286,0
0.3500022888183594,3.3000000000000007,3.2,0.0,-23.174603174603178,0
0.3600032329559326,3.2,3.0,0.0,-27.301587301587304,0
0.37000203132629395,3.2,2.7,-0.3174603174603175,-26.03174603174603,0
0.3800022602081299,3.2,2.5,-0.3174603174603175,-19.682539682539684,0
0.3900017738342285,3.2,2.4000000000000004,-0.634920634920635,-15.555555555555554,0
0.40000414848327637,3.2,2.3000000000000007,-1.26984126984127,-11.428571428571429,0
0.4100015163421631,3.1,2.3000000000000007,-8.88888888888889,-0.0,0
0.4200015068054199,2.9000000000000004,2.3000000000000007,-19.04761904761905,-0.634920634920635,0
0.43000197410583496,2.7,2.3000000000000007,-22.53968253968254,-0.0,0
0.4400019645690918,2.5,2.3000000000000007,-21.587301587301585,-0.634920634920635,0
0.45000219345092773,2.3000000000000007,2.2,-19.36507936507936,-1.587301587301587,0
0.4600036144256592,2.2,2.2,-13.96825396825397,-6.031746031746032,0
0.4700019359588623,2.0,1.7000000000000002,-6.349206349206348,-22.222222222222225,0
0.48000335693359375,2.0,1.7000000000000002,-6.349206349206348,-22.222222222222225,0
0.4900021553039551,2.0,1.6,-5.07936507936508,-15.238095238095243,0
0.5000033378601074,2.0,1.5,0.0,-11.111111111111112,0
0.5100018978118896,2.0,1.5,0.0,-0.9523809523809527,0
0.5200035572052002,2.0,1.5,0.0,0.3174603174603175,0
0.5300021171569824,2.0,1.5,-0.3174603174603175,-0.0,0
0.5400035381317139,2.0,1.5,0.0,-0.0,0
0.550001859664917,2.0,1.5,-1.26984126984127,-0.0,0
0.5600025653839111,1.9000000000000004,1.5,-6.031746031746032,-0.0,0
0.5700027942657471,1.7000000000000002,1.5,-16.825396825396826,-0.3174603174603175,0
0.5800039768218994,1.5,1.4000000000000004,-19.04761904761905,-0.9523809523809527,0
0.5900020599365234,1.3,1.4000000000000004,-19.36507936507936,-4.444444444444445,0
0.6000020503997803,1.1,1.2000000000000002,-17.77777777777778,-16.19047619047619,0
